,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
19262,115461,ELEC,public,200-9,40.039697,-76.28134,Lancaster,PA,,2.0,,J1772 TESLA,Free,,
19263,115462,ELEC,public,200-9,39.99564,-76.289783,Lancaster,PA,,2.0,,J1772 TESLA,Free,,
19264,115463,ELEC,public,200-9,40.085673,-76.204392,Leola,PA,,2.0,,TESLA,Free,,
19265,115464,ELEC,public,200-9,41.354052,-74.718348,Matamoras,PA,,4.0,,J1772 TESLA,Free,,
19266,115466,ELEC,public,200-8,41.142829,-80.16513,Mercer,PA,,3.0,,J1772 TESLA,Free,,
19267,115467,ELEC,public,200-8,41.142536,-80.16487,Mercer,PA,,3.0,,J1772 TESLA,Free,,
19268,115468,ELEC,public,200-9,39.82342,-77.902105,Mercersburg,PA,,2.0,,J1772 TESLA,Free,,
19269,115470,ELEC,public,200-8,40.435727,-79.771998,Monroeville,PA,,3.0,,J1772 TESLA,Free,,
19270,115471,ELEC,public,200-9,40.507908,-80.222611,Moon Township,PA,,2.0,,TESLA,Free,,
19271,115473,ELEC,public,200-8,40.427085,-79.700669,Murrysville,PA,,4.0,,J1772 TESLA,Free,,
19272,115474,ELEC,public,200-9,41.093142,-80.329099,New Castle,PA,,2.0,,J1772 TESLA,Free,,
19273,115475,ELEC,public,200-9,39.863251,-77.058577,New Oxford,PA,,3.0,,J1772 TESLA,Free,,
19274,115476,ELEC,public,200-9,39.864045,-77.056489,New Oxford,PA,,2.0,,J1772 TESLA,Free,,
19275,115477,ELEC,public,200-9,41.286241,-75.338945,Newfoundland,PA,,2.0,,J1772 TESLA,Free,,
19276,115478,ELEC,public,200-9,40.277546,-76.578003,Palmyra,PA,,2.0,,TESLA,Free,,
19277,115479,ELEC,public,200-9,40.294605,-76.604073,Palmyra,PA,,1.0,,TESLA,Free,,
19278,115480,ELEC,public,200-8,40.008054,-75.21053,Philadelphia,PA,,2.0,,J1772 TESLA,Free,,
19279,115481,ELEC,public,200-8,40.073628,-75.20272,Philadelphia,PA,,1.0,,TESLA,Free,,
19280,115482,ELEC,public,200-8,39.889413,-75.245989,Philadelphia,PA,,2.0,,J1772 TESLA,Free,,
19281,115483,ELEC,public,200-8,40.130901,-75.450831,Phoenixville,PA,,2.0,,J1772 TESLA,Free,,
19282,115484,ELEC,public,200-9,40.441805,-80.151675,Pittsburgh,PA,,2.0,,J1772 TESLA,Free,,
19283,115485,ELEC,public,200-9,40.454434,-79.955034,Pittsburgh,PA,,4.0,,J1772 TESLA,Free,,
19284,115486,ELEC,public,200-8,40.443767,-80.159039,Pittsburgh,PA,,3.0,,J1772 TESLA,Free,,
