,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
396,Pickup,F-150 2WD FFV,2021,Ford,Ethanol (E85),,,12.0,18.0,14.0,17.0,24.0,20.0
397,Pickup,F-150 4WD,2021,Ford,Biodiesel (B20),,,,,,20.0,27.0,23.0
398,Pickup,F-150 4WD FFV,2021,Ford,Ethanol (E85),,,14.0,18.0,15.0,19.0,22.0,20.0
399,Pickup,F-150 4WD FFV,2021,Ford,Ethanol (E85),,,11.0,17.0,13.0,16.0,22.0,19.0
400,Pickup,F150 Pickup 2WD HEV,2021,Ford,Hybrid Electric,,,,,,25.0,26.0,25.0
401,Pickup,F150 Pickup 4WD HEV,2021,Ford,Hybrid Electric,,,,,,24.0,24.0,24.0
402,Sedan/Wagon,Mustang Mach-E AWD,2021,Ford,Electric,211.0,,100.0,86.0,93.0,,,
403,Sedan/Wagon,Mustang Mach-E AWD Extended,2021,Ford,Electric,270.0,,96.0,84.0,90.0,,,
404,Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,Electric,270.0,,90.0,77.0,84.0,,,
405,Sedan/Wagon,Mustang Mach-E GT AWD,2021,Ford,Electric,260.0,,88.0,75.0,82.0,,,
406,Sedan/Wagon,Mustang Mach-E RWD,2021,Ford,Electric,230.0,,105.0,93.0,100.0,,,
407,Sedan/Wagon,Mustang Mach-E RWD California Route 1,2021,Ford,Electric,305.0,,108.0,94.0,101.0,,,
408,Sedan/Wagon,Mustang Mach-E RWD Extended,2021,Ford,Electric,300.0,,104.0,90.0,97.0,,,
409,Pickup,Super Duty F-250,2021,Ford,Ethanol (E85),,,,,,,,
410,Pickup,Super Duty F-250 2WD/4WD,2021,Ford,CNG - Bi-fuel,,,,,,,,
411,Pickup,Super Duty F-250 2WD/4WD,2021,Ford,Biodiesel (B20),,,,,,,,
412,Pickup,Super Duty F-250 2WD/4WD,2021,Ford,CNG - Compressed Natural Gas,,,,,,,,
413,Pickup,Super Duty F-250 2WD/4WD,2021,Ford,Propane - Bi-fuel,,,,,,,,
414,Pickup,Super Duty F-250 2WD/4WD,2021,Ford,Propane,,,,,,,,
415,Van,Transit Connect Van FFV,2021,Ford,Ethanol (E85),,,18.0,20.0,19.0,24.0,27.0,25.0
416,Van,Transit Connect Van/Wagon,2021,Ford,Propane - Bi-fuel,,,,,,,,
417,Van,Transit Connect Van/Wagon,2021,Ford,CNG - Compressed Natural Gas,,,,,,,,
418,Van,Transit Connect Van/Wagon,2021,Ford,CNG - Bi-fuel,,,,,,,,
419,Van,Transit Connect Van/Wagon,2021,Ford,Propane,,,,,,,,
