,station_id,acces_code,latitude,longitude,city,state,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_connector_types,ev_pricing
18185,114342,public,42.352589,-73.288518,Lenox,MA,0,2,-1,J1772 TESLA,Free
18186,114343,public,42.355928,-73.282592,Lenox,MA,0,2,-1,J1772 TESLA,Free
18187,114344,public,42.340328,-73.268624,Lenox,MA,0,2,-1,TESLA,Free
18188,114345,public,42.339036,-73.256307,Lenox,MA,0,1,-1,TESLA,Free
18189,114346,public,42.363027,-73.281626,Lenox,MA,0,2,-1,J1772 TESLA,Free
18190,114347,public,42.355164,-73.280905,Lenox,MA,0,2,-1,TESLA,Free
18191,114348,public,42.506063,-70.848242,Marblehead,MA,0,2,-1,J1772 TESLA,Free
18192,114349,public,41.616861,-70.491357,Mashpee,MA,0,2,-1,TESLA,Free
18193,114350,public,41.289226,-70.117217,Nantucket,MA,0,2,-1,TESLA,Free
18194,114351,public,41.279088,-70.092471,Nantucket,MA,0,2,-1,TESLA,Free
18195,114352,public,42.556176,-70.983555,Peabody,MA,0,3,-1,J1772 TESLA,Free
18196,114353,public,41.881215,-70.598159,Plymouth,MA,0,3,-1,J1772 TESLA,Free
18197,114354,public,42.053058,-70.185219,Provincetown,MA,0,3,-1,J1772 TESLA,Free
18198,114355,public,41.757366,-70.495067,Sandwich,MA,0,2,-1,J1772 TESLA,Free
18199,114358,public,42.705408,-73.191089,Williamstown,MA,0,3,-1,J1772 TESLA,Free
18582,114758,public,39.439864,-74.521167,Absecon,NJ,0,3,-1,J1772 TESLA,Free
18583,114759,public,39.377911,-74.433786,Atlantic City,NJ,0,4,-1,TESLA,Free
18584,114760,public,39.357187,-74.441058,Atlantic City,NJ,0,3,-1,TESLA,Free
18585,114761,public,39.37910672225931,-74.42809535050964,Atlantic City,NJ,0,3,-1,J1772 TESLA,Free
18586,114762,public,39.56296,-74.23924,Beach Haven,NJ,0,1,-1,TESLA,Free
18587,114763,public,40.717995,-74.570497,Bernardsville,NJ,0,2,-1,J1772 TESLA,Free
18588,114764,public,40.054744,-74.133424,Brick,NJ,0,1,-1,TESLA,Free
18589,114765,public,39.399645,-74.371351,Brigantine,NJ,0,4,-1,J1772 TESLA,Free
18590,114766,public,38.931054,-74.92545,Cape May,NJ,0,3,-1,J1772 TESLA,Free
18591,114767,public,40.813409,-74.468935,Cedar Knolls,NJ,0,2,-1,TESLA,Free
18592,114768,public,40.628918,-74.917559,Clinton,NJ,0,2,-1,TESLA,Free
18593,114771,public,40.8613,-73.959475,Fort Lee,NJ,0,4,-1,TESLA,Free
18594,114772,public,40.962536,-74.134055,Glen Rock,NJ,0,2,-1,J1772 TESLA,Free
18595,114773,public,40.738612,-74.028155,Hoboken,NJ,0,2,-1,TESLA,Free
18596,114774,public,40.720209,-74.040291,Jersey City,NJ,0,3,-1,J1772 TESLA,Free
18597,114775,public,40.713974,-74.041091,Jersey City,NJ,0,1,-1,TESLA,Free
18598,114776,public,40.716727,-74.032378,Jersey City,NJ,0,2,-1,TESLA,Free
18599,114777,public,40.734408,-74.109052,Jersey City,NJ,0,4,-1,TESLA,Free
18600,114778,public,40.722463,-74.064638,Jersey City,NJ,0,3,-1,J1772 TESLA,Free
