,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State
13601,89894,E85,public,GPS,40.480442,-78.403264,Altoona,PA
13602,89895,E85,public,200-9,40.24309,-76.992953,Mechanicsburg,PA
13603,89896,E85,public,200-9,40.277995,-76.822773,Harrisburg,PA
13604,89897,E85,public,200-9,40.809129,-77.900998,State College,PA
13641,91697,E85,public,200-9,40.444223,-79.229932,Blairsville,PA
13774,92019,E85,public,200-9,40.628163,-73.736919,Cedarhurst,NY
13780,92029,E85,public,200-9,41.527946,-73.891745,Fishkill,NY
13792,92042,E85,public,200-9,40.651271,-73.604003,Baldwin,NY
13793,92043,E85,public,200-9,41.227204,-80.240683,Mercer,PA
13794,92044,E85,public,200-9,41.119127,-78.76018,Dubois,PA
13796,92046,E85,public,200-9,40.423452,-79.666334,Murrysville,PA
13798,92048,E85,public,200-9,39.860615,-79.955037,Carmichaels,PA
13799,92049,E85,public,200-9,40.443419,-75.954424,Leesport,PA
13800,92050,E85,public,200-9,39.844385,-77.199075,Gettysburg,PA
13801,92051,E85,public,200-9,40.503105,-80.223121,Moon,PA
13805,92055,E85,public,200-9,40.139953,-77.365891,Newville,PA
13818,92068,E85,public,200-9,40.61889,-79.731959,Natrona Heights,PA
13822,92072,E85,public,200-8,40.398493,-79.770189,Monroeville,PA
14907,98772,E85,public,200-9,43.021206,-78.962025,Grand Island,NY
15902,102587,E85,public,200-9,40.725681,-73.718546,Floral Park,NY
16346,104493,E85,public,200-9,42.161923,-71.110215,Canton,MA
20500,116864,E85,public,200-8,40.858455,-79.91124,Lyndora,PA
20560,117038,E85,public,200-8,40.106383,-75.000045,Philadelphia,PA
20967,118975,E85,public,200-9,40.714771,-73.859421,Rego Park,NY
21277,121560,E85,public,200-8,41.41812,-75.671345,Scranton,PA
22350,123493,E85,public,200-9,40.001503,-76.617066,Hellam,PA
24257,131994,E85,public,200-9,40.924056,-72.702553,Riverhead,NY
25253,145424,E85,public,200-9,42.30483,-72.649735,Northampton,MA
25866,147610,E85,public,200-8,40.657693,-73.691288,Valley Stream,NY
27310,150283,E85,public,200-9,40.738486,-80.315974,New Brighton,PA
27750,150838,E85,public,200-8,40.514351,-79.952402,Glenshaw,PA
28874,153525,E85,public,200-9,40.899291,-73.83258,Mt. Vernon,NY
28878,153529,E85,public,GPS,40.70982236091535,-73.42908872991944,Farmingdale,NY
28884,153536,E85,public,200-9,40.311245,-75.8688,Reading,PA
29221,154155,E85,public,GPS,42.25130593057604,-73.76071773149108,Hudson,NY
29739,155206,E85,public,200-9,40.262748,-75.32142,Lansdale,PA
30168,156023,E85,public,200-9,40.0069,-74.9751,Cinnaminson,NJ
34348,163629,E85,public,200-9,40.348486,-80.111563,Bridgeville,PA
35382,165522,E85,public,200-9,42.80885,-78.79814,Lackawanna,NY
35384,165524,E85,public,GPS,42.15817501232186,-76.86408612435913,Elmira,NY
37898,169712,E85,public,200-9,41.201612,-80.45561,Hermitage,PA
37899,169713,E85,public,GPS,40.21702885940923,-80.20182199601744,Washington,PA
37940,169762,E85,public,200-9,40.836096,-77.802329,State College,PA
37943,169765,E85,public,200-9,41.209051,-79.367786,Clarion,PA
37944,169766,E85,public,200-9,41.710707,-78.694168,Kane,PA
37945,169767,E85,public,GPS,40.86107557951341,-76.54933384124757,Elysburg,PA
37954,169776,E85,public,200-8,40.860239,-79.911013,Butler,PA
37965,169789,E85,public,200-9,40.560525,-80.039324,Pittsburgh,PA
37966,169790,E85,public,200-8,39.898213,-80.135081,Waynesburg,PA
37970,169794,E85,public,200-9,40.534691,-78.401126,Altoona,PA
37971,169795,E85,public,200-9,39.992456,-77.608907,Chambersburg,PA
37972,169796,E85,public,200-8,40.30073,-79.490802,Greensburg,PA
37973,169797,E85,public,200-8,40.1216,-79.558512,Mt. Pleasant,PA
37974,169798,E85,public,200-8,40.258682,-76.918093,Camp Hill,PA
37975,169799,E85,public,200-8,40.229074,-76.891438,Camp Hill,PA
37976,169800,E85,public,200-9,39.871244,-77.028185,New Oxford,PA
37977,169801,E85,public,200-8,40.011126,-79.864644,Grindstone,PA
37979,169803,E85,public,200-9,40.633606,-78.64608,Patton,PA
37980,169804,E85,public,200-9,40.052968,-78.510203,Bedford,PA
38858,171112,E85,public,200-8,40.876887,-77.776052,Bellefonte,PA
38865,171119,E85,public,GPS,40.69842580456522,-73.40964389814758,Amityville,NY
50595,186480,E85,public,200-9,39.937204,-77.672338,Chambersburg,PA
50596,186481,E85,public,200-9,41.233185,-77.019907,Williamsport,PA
50606,186492,E85,public,200-8,41.312969,-75.936734,Shavertown,PA
50608,186494,E85,public,200-9,41.00264,-80.34683,New Castle,PA
50618,186504,E85,public,200-8,43.069258,-77.298241,Macedon,NY
50619,186505,E85,public,200-9,43.204602,-77.475167,Webster,NY
50629,186520,E85,public,200-9,40.692451,-73.566631,North Merrick,NY
51265,187490,E85,private,GPS,40.01183,-74.31903,Lakehurst,NJ
51287,187513,E85,private,GPS,40.02444,-74.6257,Fort Dix,NJ
54146,193304,E85,public,GPS,40.85062712853381,-73.36603926428222,Huntington,NY
56589,196619,E85,private,GPS,40.60391,-74.058548,Staten Island,NY
60479,202985,E85,public,200-9,39.823247,-76.996911,Hanover,PA
60534,203058,E85,public,200-9,42.72459,-73.843493,Colonie,NY
