,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,CNG Dispenser Num
8690,69117,CNG,private,200-6,39.931979,-75.352139,Springfield,PA,-1
8693,69127,CNG,private,200-6,40.002337,-75.583123,West Chester,PA,-1
8842,70105,CNG,public,200-9,40.241864,-80.18491,Canonsburg,PA,2
8845,70126,CNG,public,200-8,42.251305,-71.805502,Worcester,MA,3
9076,71421,CNG,public,200-9,40.78642,-73.105125,Ronkonkoma,NY,1
9604,74287,CNG,private,200-9,41.740108,-72.656123,Hartford,CT,-1
9666,74868,CNG,private,200-8,40.222721,-79.611921,New Stanton,PA,-1
9679,74881,CNG,private,200-9,40.164017,-75.144794,Horsham,PA,-1
9801,75666,CNG,public,200-9,40.54965,-79.832323,Cheswick,PA,2
9834,75801,CNG,public,200-9,40.30982,-79.508816,Greensburg,PA,2
9837,75843,CNG,public,200-9,43.139294,-77.666717,Gates,NY,2
9838,75845,CNG,public,200-9,43.120271,-76.220444,Liverpool,NY,2
10011,77158,CNG,public,200-9,40.805695,-73.880803,Bronx,NY,1
10316,79256,CNG,private,200-9,40.82289,-73.841375,Bronx,NY,-1
10317,79257,CNG,private,200-9,42.958917,-78.890221,Buffalo,NY,-1
10318,79258,CNG,private,GPS,40.7174297,-73.9224295,Maspeth,NY,-1
10319,79259,CNG,private,200-8,41.600862,-76.018425,Mehoopany,PA,2
10321,79266,CNG,public,200-9,40.334523,-78.900235,Johnstown,PA,1
10322,79267,CNG,public,200-9,39.944688,-76.793636,York,PA,2
10928,81744,CNG,private,200-8,41.34967,-72.410763,Centerbrook,CT,-1
10974,81857,CNG,public,200-9,40.815644,-79.565628,Kittanning,PA,1
12443,85517,CNG,public,200-9,40.614665,-80.098711,Sewickley,PA,1
13136,87707,CNG,public,200-9,42.275962,-71.411974,Framingham,MA,2
13292,88190,CNG,private,200-9,40.632915,-80.317475,Aliquippa,PA,1
13545,89738,CNG,private,200-9,40.371142,-79.572258,Greensburg,PA,2
13606,89911,CNG,public,200-9,39.572621,-75.053406,Malaga,NJ,1
13640,91696,CNG,public,GPS,41.93118217393383,-72.59761565410614,East Windsor,CT,2
14815,98522,CNG,public,200-9,40.982071,-80.356436,New Castle,PA,3
14885,98710,CNG,private,200-9,41.650334,-80.172138,Meadville,PA,2
14886,98712,CNG,private,200-8,40.587692,-75.474566,Allentown,PA,2
16321,104426,CNG,private,200-8,40.852978,-79.910671,Butler,PA,-1
16345,104492,CNG,public,200-9,40.612658,-79.172436,Indiana,PA,2
16527,105075,CNG,public,200-8,42.020202,-80.188497,Fairview,PA,2
20554,117015,CNG,public,200-9,40.812004,-80.078881,Evans City,PA,2
20622,117234,CNG,private,200-9,40.34129,-76.414672,Lebanon,PA,1
20865,117871,CNG,public,200-9,39.729204,-74.863836,Waterford Works,NJ,4
21990,122986,CNG,public,200-9,42.122459,-80.0774,Erie,PA,1
22450,123710,CNG,private,200-9,41.429396,-75.615656,Dunmore,PA,-1
22458,123718,CNG,private,200-9,40.33622,-75.610547,Gilbertsville,PA,-1
22532,124687,CNG,private,200-9,40.031756,-76.734099,York,PA,-1
22533,124688,CNG,private,200-9,39.834694,-77.224258,Gettysburg,PA,-1
24900,144370,CNG,private,200-9,40.651929,-75.421561,Bethlehem,PA,-1
24901,144371,CNG,private,200-8,41.232891,-75.873239,Wilkes Barre,PA,-1
29303,154291,CNG,private,GPS,41.93118217393383,-72.59761565410614,East Windsor,CT,-1
29304,154292,CNG,private,200-9,41.602525,-73.075752,Oakville,CT,-1
29458,154550,CNG,private,GPS,39.96083921221658,-79.65220966403199,Lemont Furnace,PA,-1
29469,154568,CNG,private,200-9,40.492604,-78.411069,Altoona,PA,-1
29470,154569,CNG,private,200-9,40.501136,-78.721227,Ebensburg,PA,-1
29967,155590,CNG,public,200-9,39.224956,-74.774461,Woodbine,NJ,4
30331,156339,CNG,public,200-9,39.052532,-74.851683,Burleigh,NJ,2
36111,167132,CNG,private,GPS,41.07792429101025,-75.32365693899537,Swiftwater,PA,-1
36439,167606,CNG,private,200-9,40.346862,-79.75913,North Huntingdon,PA,-1
51259,187475,CNG,private,GPS,40.208116,-76.840282,New Cumberland,PA,-1
51687,188087,CNG,private,200-9,39.901013,-75.235023,Philadelphia,PA,12
51806,189034,CNG,private,200-9,42.866539,-78.831713,Buffalo,NY,-1
56495,196516,CNG,private,200-9,39.944688,-76.793636,York,PA,-1
